"Name","Location","Price","Currency","Rating"
"Al Diafah Hotel Suites","Al Sulimania, Riyadh",230,"SAR","7.1"
"Hilton Garden Inn Riyadh Financial District","Riyadh",539,"SAR","7.4"
"Areej Hotel","Makkah",55,"SAR","6.3"
"Al Rabwah House","",180,"SAR","6.5"
"Naviti Warwick Dammam","Dammam",289,"SAR","7.8"
"Nadra Furnished Apartments","Taif",280,"SAR","6.8"
"Najd Peak By Quiet Rooms","Riyadh",162,"SAR","5.4"
"Mabet Al Tahlia Hotel Apartments","Al Tahlia Street, Jeddah",237,"SAR","7.9"
"Diamond Tower Hotel","Jeddah",219,"SAR","8.6"
"Maset Al Masem Al Khobar","Al Olayya, Al Khobar",300,"SAR","7.9"
"Al Taif Gate Hotel Suites","Taif",167,"SAR","7.6"
"Hayaa Hotel","Al Aziziyah, Makkah",70,"SAR","6.3"
"Nozol Royal Inn Hotel","Central Madinah, Al Madinah",180,"SAR","7.0"
"Golden Garden Al Corniche","Dammam",299,"SAR","7.2"
"Al Atlal Hotel","Al Khobar",207,"SAR","6.9"
"La fontaine Opal","Al Salamah, Jeddah",280,"SAR","8.2"
"Oasis Rise Hotel Apartments","Jeddah",207,"SAR","7.9"
"Ghoson Al Zaitoun Furnished Units","Sakakah",130,"SAR","7.1"
"Lamar Al Bawadi Hotel","Jeddah",285,"SAR","8.0"
"Home Inn Hotel Suites","Al Olayya, Al Khobar",210,"SAR","8.7"
"Al Rahaa Furnished Units","Abha",195,"SAR","7.8"
"Farah Hotel","Al Aziziyah, Makkah",65,"SAR","7.2"
"TRAMONTANE","Hail",231,"SAR","8.5"
"Relax Day Hotel","Tabuk",250,"SAR","7.0"
"Al Musafer Hotel Riyadh","Al Sulimania, Riyadh",142,"SAR","5.9"
"Areej Hotel","Makkah",55,"SAR","6.3"
"Al Rabwah House","",180,"SAR","6.5"
"Naviti Warwick Dammam","Dammam",289,"SAR","7.8"
"Najd Peak By Quiet Rooms","Riyadh",162,"SAR","5.4"
"Mabet Al Tahlia Hotel Apartments","Al Tahlia Street, Jeddah",237,"SAR","7.9"
"Diamond Tower Hotel","Jeddah",219,"SAR","8.6"
"Diamond Tower Hotel","Jeddah",219,"SAR","8.6"
"Maset Al Masem Al Khobar","Al Olayya, Al Khobar",300,"SAR","7.9"
"Al Taif Gate Hotel Suites","Taif",167,"SAR","7.6"
"Hayaa Hotel","Al Aziziyah, Makkah",70,"SAR","6.3"
"Mandaren Suites","Taif",280,"SAR","8.7"
"Nozol Royal Inn Hotel","Central Madinah, Al Madinah",189,"SAR","7.0"
"Golden Garden Al Corniche","Dammam",299,"SAR","7.2"
"Al Atlal Hotel","Al Khobar",207,"SAR","6.9"
"Zahrat Rozah By Quiet Rooms","Riyadh",189,"SAR","6.7"
"Methaq Hotel Suites","Riyadh",230,"SAR","6.7"
"Al Safa Hotel Suites","Jazan",151,"SAR","7.5"
"Nawazi Ajyad Hotel","Ajyad, Makkah",123,"SAR","6.3"
"Dar Sadan Hotel Suites","Al Bukayriyah",220,"SAR","7.5"
"Rotana Hotel","Al Hamra, Jeddah",161,"SAR","7.7"
"Pullman ZamZam Makkah","Ajyad, Makkah",330,"SAR","7.2"
"Swissotel Al Maqam Makkah","Ajyad, Makkah",360,"SAR","8.3"
"Samaya Royal Afif","",170,"SAR","8.3"
"Lavent Park Hotel Suites","Jeddah",210,"SAR","7.2"
"Al Muhaidb Al Hada Resort","Al Hada",236,"SAR","7.8"
"Spectrums Residence Managed by The Ascott Limited","Al Salamah, Jeddah",405,"SAR","8.2"
"Hotel Ritaj Alsahel","Yanbu",200,"SAR","7.9"
"Diamond Elite Hotel","Jazan",225,"SAR","8.2"
"Al kharboush For Furnished Units","Hafr Al Baten",148,"SAR","8.2"
"Retaj Al Bayt Suites","Ajyad, Makkah",315,"SAR","7.7"
"Al Ghufran Safwah Hotel Makkah","Ajyad, Makkah",309,"SAR","8.8"
"Aloft Dhahran Hotel","Al Olayya, Al Khobar",375,"SAR","8.2"
"Zaha Al Munawara Hotel","Al Madinah",141,"SAR","8.1"
"Manazil Al Dhayf","Jeddah",200,"SAR","8.2"
"Province Al Sham Hotel","Central Madinah, Al Madinah",150,"SAR","7.3"
"FLAMINGO Boutique Hotel","Al Hamra, Jeddah",252,"SAR","8.3"
"Nadra Furnished Apartments","Taif",280,"SAR","6.8"
"Pullman ZamZam Makkah","Ajyad, Makkah",330,"SAR","7.2"
"Swissotel Al Maqam Makkah","Ajyad, Makkah",360,"SAR","8.3"
"Samaya Royal Afif","",170,"SAR","8.3"
"Lavent Park Hotel Suites","Jeddah",210,"SAR","7.2"
"Al Muhaidb Al Hada Resort","Al Hada",236,"SAR","7.8"
"Hotel Ritaj Alsahel","Yanbu",200,"SAR","7.9"
"Diamond Elite Hotel","Jazan",225,"SAR","8.2"
"Mirage Hotel Jeddah","Jeddah",239,"SAR","9.0"
"Violet Al Azizia Hotel","Al Aziziyah, Makkah",161,"SAR","8.5"
"Swiss Blue Al Samer","Jeddah",220,"SAR","8.1"
"Semat ApartHotel","Al Salamah, Jeddah",300,"SAR","8.3"
"EVA Hotel","Jeddah",360,"SAR","8.2"
"Marina Arar Furnished Apartments","Arar",153,"SAR","8.9"
"Madina Palace Hotel","Jeddah",207,"SAR","6.0"
"Al Kenana Hotel","Al Aziziyah, Makkah",69,"SAR","7.2"
"Al Hayaah Bayta","Tabuk",201,"SAR","6.5"
"Ibis Yanbu","Yanbu",330,"SAR","7.9"
"Batoul Ajyad Hotel","Ajyad, Makkah",111,"SAR","7.5"
"Rwnza Hotel Apartments","Tabuk",200,"SAR","5.4"
"Seher Aloyon Funished Apartments","Buraydah",250,"SAR","8.1"
"Dari Hotel Families Only","Jeddah",266,"SAR","8.9"
"Iwan Alandalusia Al Ajaweed","Jeddah",230,"SAR","7.8"
"Taj Al Worood Hotel","Jeddah",240,"SAR","8.4"
"Taj Al Arous Furnished Units","Al Tahlia Street, Jeddah",90,"SAR","6.5"
"Reef residence","",238,"SAR","5"
"Al Tamayoz Furnished Units","Al Madinah",72,"SAR","5.4"
"Arjaan Altakhassusi Hotel Suites","Riyadh",379,"SAR","8.6"
"Mirage Hotel Jeddah","Jeddah",239,"SAR","9.0"
"Violet Al Azizia Hotel","Al Aziziyah, Makkah",161,"SAR","8.5"
"Swiss Blue Al Samer","Jeddah",220,"SAR","8.1"
"EVA Hotel","Jeddah",360,"SAR","8.2"
"Marina Arar Furnished Apartments","Arar",153,"SAR","8.9"
"Madina Palace Hotel","Jeddah",207,"SAR","6.0"
"SAS Hotel","Al Jubail",299,"SAR","7.2"
"Mera Houses Aparthotel","Baljurashi",200,"SAR","8.0"
